title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Number of Patents,Count,Assignment,Patent No.,Patent Issued,Patent Owner,Patent Extended Period (days),Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext,row_identifier,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Proprietary Name,Active Ingredient/Moiety,Applicant,NDA/BLA,Application Number(1),Application Number(2),FDA Receipt Date,FDA Approval Date,Approval Year,Abbreviated Indication(s),Approved Use(s),Review Designation,Orphan Drug Designation,Accelerated Approval,Breakthrough Therapy Designation,Fast Track Designation
Determination of Regulatory Review Period for Purposes of Patent Extension; DemadexSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Demadex<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-17738,https://www.federalregister.gov/documents/1994/07/21/94-17738/determination-of-regulatory-review-period-for-purposes-of-patent-extension-demadexsuptm,,7/21/1994, DemadexSUPTM,,,Demadex<SUP>TM,1,9,Anthony,Re. 30633,,,,A. Christians Societe Anonyme,2790,1882,908,1986-01-04,1986-01-10,1993-08-23,NDA 20-136,5,20136,,,,,,,,,,,Demadex,torsemide,Boehringer Mannheim,NDA,20136,20137,1991-02-28,1993-08-23,1993,"treatment of edema associated with congestive heart failure (CHF), renal disease, or hepatic disease; treatment of hypertension",,Standard,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CattlystRegister 50 Type A Medicated Article,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cattlyst<Register> 50 Type A Medicated Article and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-17814,https://www.federalregister.gov/documents/1994/07/22/94-17814/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cattlystregister-50-type,,7/22/1994, CattlystRegister 50 Type A Medicated Article,,,Cattlyst<Register> 50 Type A Medicated Article,1,10,Anthony,4431665,n/a,,,"Syntex (U.S.A), Inc.",4253,3762,491,1982-07-14,1982-07-14,1994-03-04,NADA 141-025,3,141025,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; DovonexRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Dovonex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21156,https://www.federalregister.gov/documents/1994/08/29/94-21156/determination-of-regulatory-review-period-for-purposes-of-patent-extension-dovonexregister,,8/29/1994, DovonexRegister,,,Dovonex<Register>,1,11,Anthony,4866048,1989-09-12,"Leo Pharmaceutical Products, Ltd.",473,"Leo Pharmaceutical Products, Ltd.",1149,510,639,1990-11-08,1990-11-08,1993-12-29,NDA 20-273,473,20273,,,,,,,,,,,Dovonex,calcipotriene,Bristol-Myers,NDA,20273,,1992-03-31,1993-12-29,1993,treatment of moderate plaque psoriasis,,Standard,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; EffexorRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Effexor<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21287,https://www.federalregister.gov/documents/1994/08/30/94-21287/determination-of-regulatory-review-period-for-purposes-of-patent-extension-effexorregister,,8/30/1994, EffexorRegister,,,Effexor<Register>,1,12,Anthony,4535186,1985-08-13,American Home Products Corp.,5 years,American Home Products Corp.,2959,1981,978,1985-11-23,1991-04-26,1993-12-28,NDA 20-151,5,20151,,,,,,,,,,,Effexor,venlafaxine hydrochloride,Wyeth-Ayerst,NDA,20151,,1991-04-26,1993-12-28,1993,treatment of depression,,Standard,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; KytrilSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Kytril<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21282,https://www.federalregister.gov/documents/1994/08/30/94-21282/determination-of-regulatory-review-period-for-purposes-of-patent-extension-kytrilsuptm,,8/30/1994, KytrilSUPTM,,,Kytril<SUP>TM,1,13,Anthony,4886808,,,,Beecham Group p.l.c.,1996,1371,625,1988-07-14,1988-07-14,1993-12-29,NDA 20-,382,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LipidilRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Lipidil<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21285,https://www.federalregister.gov/documents/1994/08/30/94-21285/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lipidilregister,,8/30/1994, LipidilRegister,,,Lipidil<Register>,1,14,Anthony,4739101,,,,Fournier Innovation et Synergie,4501,1003,3498,1981-09-06,1981-09-06,1993-12-31,NDA 19-304,256,19304,,,,,,,,,,,Lipidil,fenofibrate,Fournier,NDA,19304,,1984-06-04,1993-12-31,1993,adjunctive therapy to diet for treatment of adult patients with very high elevations of serum triglyceride levels (types IV and V hyperlipidemia) who are at risk of pancreatitis and who do not respond adequately to a determined dietary effort to control them,,Standard,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LivostinRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Livostin<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21283,https://www.federalregister.gov/documents/1994/08/30/94-21283/determination-of-regulatory-review-period-for-purposes-of-patent-extension-livostinregister,,8/30/1994, LivostinRegister,,,Livostin<Register>,1,15,Anthony,4369184,,,,Janssen Pharmaceutica N.V.,2779,2000,779,1986-04-04,1986-04-04,1993-11-10,NDA 20-219,1779,20219,,,,,,,,,,,Livostin,levocabastine hydrochloride,Iolab,NDA,20219,,1991-09-24,1993-11-10,1993,temporary relief of the signs and symptoms of seasonal allergic conjunctivitis,,Priority,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeurontinRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neurontin<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21288,https://www.federalregister.gov/documents/1994/08/30/94-21288/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neurontinregister,,8/30/1994, NeurontinRegister,,,Neurontin<Register>,1,16,Anthony,4087544,,,,Warner-Lambert Co.,2740,2040,700,1986-07-02,1992-01-31,1993-12-30,NDA 20-235,1726,20235,,,,,,,,,,,Neurontin,gabapentin,Parke-Davis,NDA,20235,,1992-01-31,1993-12-30,1993,indicated as adjunctive therapy in the treatment of partial seizures with and without secondary generalization in adults with epilepsy,,Priority,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeutrexinSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neutrexin<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21280,https://www.federalregister.gov/documents/1994/08/30/94-21280/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neutrexinsuptm,,8/30/1994, NeutrexinSUPTM,,,Neutrexin<SUP>TM,1,17,Anthony,4376858,,,,Warner-Lambert Co.,2251,1934,317,1987-10-21,1987-03-30,1993-12-17,IND 29,1310,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RisperdalRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Risperdal<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21284,https://www.federalregister.gov/documents/1994/08/30/94-21284/determination-of-regulatory-review-period-for-purposes-of-patent-extension-risperdalregister,,8/30/1994, RisperdalRegister,,,Risperdal<Register>,1,18,Anthony,4804663,,,,Janssen Pharmaceutica N.V.,1940,1316,624,1988-09-08,1988-09-08,1993-12-29,NDA 20-272,683,20272,,,,,,,,,,,Risperdal,risperidone,Janssen,NDA,20272,,1992-04-15,1993-12-29,1993,management of the manifestations of psychotic disorders,,Priority,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZosynRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zosyn<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21286,https://www.federalregister.gov/documents/1994/08/30/94-21286/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zosynregister,,8/30/1994, ZosynRegister,,,Zosyn<Register>,1,19,Anthony,4562073,,,,"Taiho Pharmaceutical Co., Ltd.",1819,1038,781,1988-10-31,1988-06-14,1993-10-22,IND 31,1358,31,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AviaxRegister,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aviax<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-21789,https://www.federalregister.gov/documents/1994/09/06/94-21789/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aviaxregister,,9/6/1994, AviaxRegister,,,Aviax<Register>,1,20,Anthony,4804680,,,,Pfizer Inc.,2438,736,1702,1987-07-09,1994-03-10,1994-03-10,NADA 140-940,755,140940,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PrografSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Prograf<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-22036,https://www.federalregister.gov/documents/1994/09/07/94-22036/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prografsuptm,,9/7/1994, PrografSUPTM,,,,0,20,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZemuronSUPTM Injection,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zemuron<SUP>TM Injection and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-22760,https://www.federalregister.gov/documents/1994/09/15/94-22760/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zemuronsuptm-injection,,9/15/1994, ZemuronSUPTM Injection,,,Zemuron<SUP>TM Injection,1,21,Anthony,4894369,,,,"Akzo Nobel, N.V.",1889,1627,262,1994-01-15,1994-01-15,1994-03-17,NDA 20-214,427,20214,,,,,,,,,,,Zemuron,rocuronium bromide,Organon,NDA,20214,,1993-06-29,1994-03-17,1994,"indicated for inpatients and outpatients as an adjunct to general anesthesia to facilitate both rapid sequence and routine tracheal intubation, and to provide skeletal muscle relaxation during surgery or mechanical ventilation",,Standard,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SemprexSUPTM-D Capsules,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Semprex<SUP>TM-D Capsules and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-23276,https://www.federalregister.gov/documents/1994/09/21/94-23276/determination-of-regulatory-review-period-for-purposes-of-patent-extension-semprexsuptm-d-capsules,,9/21/1994, SemprexSUPTM-D Capsules,,,Semprex<SUP>TM-D Capsules,1,22,Anthony,4650807,,,,Burroughs Wellcome Co.,3489,1210,2279,1984-09-06,1984-09-06,1994-03-25,NDA 19-806,1469,19806,,,,,,,,,,,Semprex-D,"acrivastine, pseudoephedrine hydrochloride",Burroughs Wellcome,NDA,19806,,1987-12-29,1994-03-25,1994,"indicated for relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion",,Standard,No,No,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Netrexingreek-Tgreek-M,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,,,X94-41005,https://www.federalregister.gov/documents/1994/10/05/X94-41005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-netrexingreek-tgreek-m,,10/5/1994, Netrexingreek-Tgreek-M,,,,0,22,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeurontinRegister,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,,,X94-51005,https://www.federalregister.gov/documents/1994/10/05/X94-51005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neurontinregister,,10/5/1994, NeurontinRegister,,,,0,22,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CPIRegister VentakRegister PRxRegister AICD System,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for CPI<Register> Ventak<Register> PRx<Register> AICD System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-28064,https://www.federalregister.gov/documents/1994/11/15/94-28064/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cpiregister,,11/15/1994, CPIRegister VentakRegister PRxRegister AICD System,,,CPI<Register> Ventak<Register> PRx<Register> AICD System,1,23,Anthony,4407288,,,,"Cardiac Pacemakers, Inc.",1306,398,908,1990-11-21,1990-11-21,1994-06-17,PMA P910077,394,910077,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZeritRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zerit<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-28194,https://www.federalregister.gov/documents/1994/11/16/94-28194/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zeritregister,,11/16/1994, ZeritRegister,,,Zerit<Register>,1,24,Anthony,4978655,,,,Yale University,1984,1805,179,1989-01-19,1988-12-16,1994-06-24,IND 32,188,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period For Purposes of Patent Extension; CognexRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cognex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-30235,https://www.federalregister.gov/documents/1994/12/08/94-30235/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cognexregister,,12/8/1994, CognexRegister,,,Cognex<Register>,1,25,Anthony,4 816456,,,,William K. Summers,2289,1095,1194,1987-06-06,1990-06-04,1993-09-09,NDA 20-,531,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZemuronSUPTM Injection; Correction,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting the notice that appeared in the Federal Register of September 15, 1994. The document announced FDA's determination of the regulatory review period for purposes of patent extension for Zeuron<SUP>TM Injection (rocuronium bromide). The document was published with some errors. The document incorrectly stated: ``1. The date an exemption under section 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: January 15, 1994. The applicant claims January 14, 1989, as [[Page 130]] the date the investigational new drug application (IND) became effective. However, FDA records indicate that the IND effective date was January 15, 1994, which was 30 days after FDA receipt of the IND.'' The document should have stated: ``1. The date an exemption under section 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: January 15, 1989. The applicant claims January 14, 1989, as the date the investigational new drug application (IND) became effective. However, FDA records indicate that the IND effective date was January 15, 1989, which was 30 days after FDA receipt of the IND.'' This document corrects those errors.",60 FR 129,94-32242,https://www.federalregister.gov/documents/1995/01/03/94-32242/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zemuronsuptm-injection,https://www.govinfo.gov/content/pkg/FR-1995-01-03/pdf/94-32242.pdf,1/3/1995, ZemuronSUPTM Injection, Correction,,,0,25,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
