title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; SingulairRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Singulair<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 10304,99-5132,https://www.federalregister.gov/documents/1999/03/03/99-5132/determination-of-regulatory-review-period-for-purposes-of-patent-extension-singulairregister,https://www.govinfo.gov/content/pkg/FR-1999-03-03/pdf/99-5132.pdf,1999-03-03, SingulairRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LumenHanceRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for LumenHance<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 10303,99-5130,https://www.federalregister.gov/documents/1999/03/03/99-5130/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lumenhanceregister,https://www.govinfo.gov/content/pkg/FR-1999-03-03/pdf/99-5130.pdf,1999-03-03, LumenHanceRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RegranexRegister and Becaplermin Concentrate,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Regranex<Register> and Becaplermin Concentrate and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims those human biological products.",64 FR 10474,99-5388,https://www.federalregister.gov/documents/1999/03/04/99-5388/determination-of-regulatory-review-period-for-purposes-of-patent-extension-regranexregister-and,https://www.govinfo.gov/content/pkg/FR-1999-03-04/pdf/99-5388.pdf,1999-03-04, RegranexRegister and Becaplermin Concentrate,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AmergeSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Amerge<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 23086,99-10698,https://www.federalregister.gov/documents/1999/04/29/99-10698/determination-of-regulatory-review-period-for-purposes-of-patent-extension-amergesuptmsup,https://www.govinfo.gov/content/pkg/FR-1999-04-29/pdf/99-10698.pdf,1999-04-29, AmergeSUPTM/SUP,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Gonal-FRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Gonal-F<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 23338,99-10846,https://www.federalregister.gov/documents/1999/04/30/99-10846/determination-of-regulatory-review-period-for-purposes-of-patent-extension-gonal-fregister,https://www.govinfo.gov/content/pkg/FR-1999-04-30/pdf/99-10846.pdf,1999-04-30, Gonal-FRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ApligrafSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Apligraf<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",64 FR 23339,99-10795,https://www.federalregister.gov/documents/1999/04/30/99-10795/determination-of-regulatory-review-period-for-purposes-of-patent-extension-apligrafsuptmsup,https://www.govinfo.gov/content/pkg/FR-1999-04-30/pdf/99-10795.pdf,1999-04-30, ApligrafSUPTM/SUP,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; FemaraRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Femara<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 25046,99-11584,https://www.federalregister.gov/documents/1999/05/10/99-11584/determination-of-regulatory-review-period-for-purposes-of-patent-extension-femararegister,https://www.govinfo.gov/content/pkg/FR-1999-05-10/pdf/99-11584.pdf,1999-05-10, FemaraRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; DenavirSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Denavir<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 25047,99-11585,https://www.federalregister.gov/documents/1999/05/10/99-11585/determination-of-regulatory-review-period-for-purposes-of-patent-extension-denavirsuptmsup,https://www.govinfo.gov/content/pkg/FR-1999-05-10/pdf/99-11585.pdf,1999-05-10, DenavirSUPTM/SUP,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; GenESARegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for GenESA<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 25350,99-11822,https://www.federalregister.gov/documents/1999/05/11/99-11822/determination-of-regulatory-review-period-for-purposes-of-patent-extension-genesaregister,https://www.govinfo.gov/content/pkg/FR-1999-05-11/pdf/99-11822.pdf,1999-05-11, GenESARegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AggrastatRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aggrastat<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 25350,99-11821,https://www.federalregister.gov/documents/1999/05/11/99-11821/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aggrastatregister,https://www.govinfo.gov/content/pkg/FR-1999-05-11/pdf/99-11821.pdf,1999-05-11, AggrastatRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LotemaxSUPTM/SUP and AlrexSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Lotemax<SUP>TM</SUP> and Alrex<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 26986,99-12392,https://www.federalregister.gov/documents/1999/05/18/99-12392/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lotemaxsuptmsup-and,https://www.govinfo.gov/content/pkg/FR-1999-05-18/pdf/99-12392.pdf,1999-05-18, LotemaxSUPTM/SUP and AlrexSUPTM/SUP,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Trovan,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Trovan and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 27272,99-12526,https://www.federalregister.gov/documents/1999/05/19/99-12526/determination-of-regulatory-review-period-for-purposes-of-patent-extension-trovan,https://www.govinfo.gov/content/pkg/FR-1999-05-19/pdf/99-12526.pdf,1999-05-19, Trovan,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeumegaRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neumega<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",64 FR 27271,99-12527,https://www.federalregister.gov/documents/1999/05/19/99-12527/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neumegaregister,https://www.govinfo.gov/content/pkg/FR-1999-05-19/pdf/99-12527.pdf,1999-05-19, NeumegaRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MonostrutSUPTM/SUP Cardiac Valve Prosthesis,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Monostrut<SUP>TM</SUP> Cardiac Valve Prosthesis and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",64 FR 27273,99-12528,https://www.federalregister.gov/documents/1999/05/19/99-12528/determination-of-regulatory-review-period-for-purposes-of-patent-extension-monostrutsuptmsup-cardiac,https://www.govinfo.gov/content/pkg/FR-1999-05-19/pdf/99-12528.pdf,1999-05-19, MonostrutSUPTM/SUP Cardiac Valve Prosthesis,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; TazoracRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Tazorac<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 27578,99-12652,https://www.federalregister.gov/documents/1999/05/20/99-12652/determination-of-regulatory-review-period-for-purposes-of-patent-extension-tazoracregister,https://www.govinfo.gov/content/pkg/FR-1999-05-20/pdf/99-12652.pdf,1999-05-20, TazoracRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; OmnicefRegister Tablets,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Omnicef<Register> Tablets and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 27578,99-12651,https://www.federalregister.gov/documents/1999/05/20/99-12651/determination-of-regulatory-review-period-for-purposes-of-patent-extension-omnicefregister-tablets,https://www.govinfo.gov/content/pkg/FR-1999-05-20/pdf/99-12651.pdf,1999-05-20, OmnicefRegister Tablets,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; OmnicefRegister Oral Suspension,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Omnicef<Register> Oral Suspension and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",64 FR 27579,99-12654,https://www.federalregister.gov/documents/1999/05/20/99-12654/determination-of-regulatory-review-period-for-purposes-of-patent-extension-omnicefregister-oral,https://www.govinfo.gov/content/pkg/FR-1999-05-20/pdf/99-12654.pdf,1999-05-20, OmnicefRegister Oral Suspension,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Therma ChoiceSUPTM/SUP Uterine Ballon Therapy System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Therma Choice<SUP>TM</SUP> Uterine Ballon Therapy System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",64 FR 29046,99-13671,https://www.federalregister.gov/documents/1999/05/28/99-13671/determination-of-regulatory-review-period-for-purposes-of-patent-extension-therma-choicesuptmsup,https://www.govinfo.gov/content/pkg/FR-1999-05-28/pdf/99-13671.pdf,1999-05-28, Therma ChoiceSUPTM/SUP Uterine Ballon Therapy System,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZiagenTM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Ziagen<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4431,00-1871,https://www.federalregister.gov/documents/2000/01/27/00-1871/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ziagentm,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1871.pdf,2000-01-27, ZiagenTM,,Benson,Ziagen (abacavir),5034394,Glaxo Wellcome,1632,1455,177,1994-07-01,1998-06-24,1998-12-17,NDA 20-977,906
Determination of Regulatory Review Period for Purposes of Patent Extension; VitraveneTM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Vitravene<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4434,00-1874,https://www.federalregister.gov/documents/2000/01/27/00-1874/determination-of-regulatory-review-period-for-purposes-of-patent-extension-vitravenetm,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1874.pdf,2000-01-27, VitraveneTM,,Benson,Vitravene (fomivirsen sodium),4689320,Isis Pharmaceuticals,1738,1598,140,1993-11-24,1998-04-09,1998-08-26,NDA 30-961,954
Determination of Regulatory Review Period for Purposes of Patent Extension; AzoptTM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Azopt<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4435,00-1875,https://www.federalregister.gov/documents/2000/01/27/00-1875/determination-of-regulatory-review-period-for-purposes-of-patent-extension-azopttm,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1875.pdf,2000-01-27, AzoptTM,,Benson,Maxalt � (rizatriptan benzoate),"5,298,520",Merck & Co,"2,099","1,734",365,1992-10-01,1997-06-30,1998-06-29,NDA 20-864,153
Determination of Regulatory Review Period for Purposes of Patent Extension; Maxalt®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Maxalt<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4428,00-1865,https://www.federalregister.gov/documents/2000/01/27/00-1865/determination-of-regulatory-review-period-for-purposes-of-patent-extension-maxalt,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1865.pdf,2000-01-27, Maxalt®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Plavix®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Plavix<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4430,00-1868,https://www.federalregister.gov/documents/2000/01/27/00-1868/determination-of-regulatory-review-period-for-purposes-of-patent-extension-plavix,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1868.pdf,2000-01-27, Plavix®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Refludan®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Refludan<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4431,00-1870,https://www.federalregister.gov/documents/2000/01/27/00-1870/determination-of-regulatory-review-period-for-purposes-of-patent-extension-refludan,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1870.pdf,2000-01-27, Refludan®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Arava®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Arava<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4429,00-1867,https://www.federalregister.gov/documents/2000/01/27/00-1867/determination-of-regulatory-review-period-for-purposes-of-patent-extension-arava,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1867.pdf,2000-01-27, Arava®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; GlucaGen®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for GlucaGen<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4432,00-1872,https://www.federalregister.gov/documents/2000/01/27/00-1872/determination-of-regulatory-review-period-for-purposes-of-patent-extension-glucagen,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1872.pdf,2000-01-27, GlucaGen®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Sentinel Model 2000/2010®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Sentinel Model 2000/2010<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",65 FR 4433,00-1873,https://www.federalregister.gov/documents/2000/01/27/00-1873/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sentinel-model-20002010,https://www.govinfo.gov/content/pkg/FR-2000-01-27/pdf/00-1873.pdf,2000-01-27, Sentinel Model 2000/2010®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Teslascan,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Teslascan and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",65 FR 4615,00-2030,https://www.federalregister.gov/documents/2000/01/31/00-2030/determination-of-regulatory-review-period-for-purposes-of-patent-extension-teslascan,https://www.govinfo.gov/content/pkg/FR-2000-01-31/pdf/00-2030.pdf,2000-01-31, Teslascan,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CertivaTM,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Certiva<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",65 FR 4614,00-2031,https://www.federalregister.gov/documents/2000/01/31/00-2031/determination-of-regulatory-review-period-for-purposes-of-patent-extension-certivatm,https://www.govinfo.gov/content/pkg/FR-2000-01-31/pdf/00-2031.pdf,2000-01-31, CertivaTM,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Lumbar I/F Cage®,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Lumbar I/F Cage<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",65 FR 4616,00-2032,https://www.federalregister.gov/documents/2000/01/31/00-2032/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lumbar-if-cage,https://www.govinfo.gov/content/pkg/FR-2000-01-31/pdf/00-2032.pdf,2000-01-31, Lumbar I/F Cage®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Rotashield®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Rotashield<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",65 FR 4983,00-2243,https://www.federalregister.gov/documents/2000/02/02/00-2243/determination-of-regulatory-review-period-for-purposes-of-patent-extension-rotashield,https://www.govinfo.gov/content/pkg/FR-2000-02-02/pdf/00-2243.pdf,2000-02-02, Rotashield®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Bapten®,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Bapten<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",65 FR 4982,00-2149,https://www.federalregister.gov/documents/2000/02/02/00-2149/determination-of-regulatory-review-period-for-purposes-of-patent-extension-bapten,https://www.govinfo.gov/content/pkg/FR-2000-02-02/pdf/00-2149.pdf,2000-02-02, Bapten®,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Wallstent Coronary Endoprosthesis,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Wallstent Coronary Endoprosthesis and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",65 FR 7023,00-3172,https://www.federalregister.gov/documents/2000/02/11/00-3172/determination-of-regulatory-review-period-for-purposes-of-patent-extension-wallstent-coronary,https://www.govinfo.gov/content/pkg/FR-2000-02-11/pdf/00-3172.pdf,2000-02-11, Wallstent Coronary Endoprosthesis,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Neuro Cybernetic Prosthesis (NCP®) System; Amendment,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) is amending a previous determination regarding the regulatory review period for the Neuro Cybernetic Prosthesis (NCP<Register>) System that appeared in the Federal Register of November 10, 1998 (63 FR 63066). FDA is amending the notice because the agency agrees with the information provided in a request from the applicant for revision of the regulatory review period (Request) (Docket No. 98E-022 8/PRC 1, dated and received on January 8, 1999).",65 FR 31010,00-12117,https://www.federalregister.gov/documents/2000/05/15/00-12117/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neuro-cybernetic,https://www.govinfo.gov/content/pkg/FR-2000-05-15/pdf/00-12117.pdf,2000-05-15, Neuro Cybernetic Prosthesis (NCP®) System, Amendment,Anthony,,,,,,,,,,,
"Determination of Regulatory Review Period for Purposes of Patent Extension; Synvisc Hylan G-F 20 (4,713,448)®",Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Synvisc Hylan G-F 20 (4,713,448)<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",66 FR 1992,01-681,https://www.federalregister.gov/documents/2001/01/10/01-681/determination-of-regulatory-review-period-for-purposes-of-patent-extension-synvisc-hylan-g-f-20,https://www.govinfo.gov/content/pkg/FR-2001-01-10/pdf/01-681.pdf,2001-01-10," Synvisc Hylan G-F 20 (4,713,448)®",,Anthony,,,,,,,,,,,
"Determination of Regulatory Review Period for Purposes of Patent Extension; Synvisc Hylan G-F 20 (5,143,724)®",Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Synvisc Hylan G-F 20 (5,143,724)<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",66 FR 1993,01-683,https://www.federalregister.gov/documents/2001/01/10/01-683/determination-of-regulatory-review-period-for-purposes-of-patent-extension-synvisc-hylan-g-f-20,https://www.govinfo.gov/content/pkg/FR-2001-01-10/pdf/01-683.pdf,2001-01-10," Synvisc Hylan G-F 20 (5,143,724)®",,Anthony,,,,,,,,,,,
"Determination of Regulatory Review Period for Purposes of Patent Extension; Synvisc Hylan G-F 20 (5,099,013)®",Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Synvisc Hylan G-F 20 (5,099,013)<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",66 FR 2910,01-974,https://www.federalregister.gov/documents/2001/01/12/01-974/determination-of-regulatory-review-period-for-purposes-of-patent-extension-synvisc-hylan-g-f-20,https://www.govinfo.gov/content/pkg/FR-2001-01-12/pdf/01-974.pdf,2001-01-12," Synvisc Hylan G-F 20 (5,099,013)®",,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AciphexTM,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aciphex\<SUP>TM</SUP>\ and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",66 FR 13770,01-5513,https://www.federalregister.gov/documents/2001/03/07/01-5513/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aciphextm,https://www.govinfo.gov/content/pkg/FR-2001-03-07/pdf/01-5513.pdf,2001-03-07, AciphexTM,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Provigil,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Provigil and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",66 FR 14153,01-5812,https://www.federalregister.gov/documents/2001/03/09/01-5812/determination-of-regulatory-review-period-for-purposes-of-patent-extension-provigil,https://www.govinfo.gov/content/pkg/FR-2001-03-09/pdf/01-5812.pdf,2001-03-09, Provigil,,Anthony,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Baycol,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Baycol and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent that claims that human drug product.",66 FR 24144,01-11961,https://www.federalregister.gov/documents/2001/05/11/01-11961/determination-of-regulatory-review-period-for-purposes-of-patent-extension-baycol,https://www.govinfo.gov/content/pkg/FR-2001-05-11/pdf/01-11961.pdf,2001-05-11, Baycol,,Anthony,,,,,,,,,,,
