document_id,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat term ext
01-683,,"5,143,724","Biomatrix, Inc",2051437242949,1783,1166,,,"August 8, 1997","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective July 14, 1989. 
                

                    2. 
                    The date the application",396
01-974,,"5,099,013","Biomatrix, Inc",2050990132949,1783,1166,,,"August 8, 1997","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective July 14, 1989. 
                

                    2. 
                    The date the application",396
01-5513,"Aciphex
                    TM
                    
                     (rabeprazole sodium","5,045,552",Eisai Co,2922,2415,507,"August 21, 1991",,"August 19, 1999",the date the investigational new drug application became effective,1713
01-5812,Provigil (modafinil,"4,177,290","Cephalon, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1975,1250,725,"July 30, 1993",,"December 24, 1998",the date the investigational new drug application became effective,985
01-11961,Baycol (cerivastatin sodium,"5,006,530",Bayer Corp,2262,1896,366,"April 19, 1991",,"June 26, 1997",the date the investigational new drug application became effective,890
01-12025,,"4,695,623","Amgen, Inc",4394,3849,545,"September 27, 1985",,"October 6, 1997",the date the investigational new drug application became effective,1826
01-12093,Xenical (orlistat,"4,598,089","HLR Technology Corporation, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3969,3091,878,,,"April 23, 1999",NDA 20-766,1824
01-12228,,"4,477,615",3V Partecipazioni Industriali S,883482,684,,,,,the test,1827
01-17105,Detrol (tolterodine tartrate,"5,382,600","Pharmacia & Upjohn Atiebolag, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1267,901,366,"October 7, 1994",,"March 25, 1998",the date the investigational new drug application became effective,64
01-17103,Gabitril (tiagabine hydrochloride,"5,010,090","Novo Nordisk A/S, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2346,1651,695,,"November 6, 1995","September 30, 1997",NDA 20-646,1255
01-23703,Synercid (quinupristin and dalfopristin,"4,798,827",Rhone Poulenc Rorer S,2793,2046,747,"January 30, 1992",,"September 21, 1999",the date the investigational new drug application became effective,1770
01-23700,Kaletra (lopinavir,"5,886,036","Abbott Laboratories, Inc",1397,1290,107,,"June 1, 2000","September 15, 2000",the new drug application (NDA) for Kaletra (NDA 21-226),324
01-23701,Synercid (quinupristin and dalfopristin,"4,668,669",Rhone Poulenc Rorer S,1919,1172,747,,"September 5, 1997","September 21, 1999",the new drug application (NDA) for Synercid (NDA 50-747),1333
01-23702,Rescula (unoprostone isopropyl ester,"5,221,763","R-Tech Veno, Ltd",1347,1186,161,,"February 25, 2000","August 3, 2000",NDA 21-214,774
01-23750,Trileptal (oxcarbazepine,"4,559,174","Novartis, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2523,2046,477,,"September 25, 1998","January 14, 2000",the new drug application (NDA) for Trileptal (NDA 21-014),1690
01-24126,,"5,385,732","Genetech, Inc",1990,1741,249,,,"June 2, 2000",the product license application (BLA) for TNKase (BLA 99-0903),853
01-25998,,,,,,,,,,,
02-1320,,"5,125,926","PLC Medical Systems, Inc",3135,2586,549,,,"August 20, 1998",the premarket approval application (PMA) for the Heart Laser System (PMA P950015),695
02-1723,,"4,291,708",Transcan Research and Development Co,20001595,964,631,,,"April 16, 1999","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective December 5, 1994.
                

                    2. 
                    The date the application",1826
02-1925,SONATA (zaleplon,"4,626,538",American Cyanamid Co,3027,2435,592,,,"August 13, 1999",NDA 20-859,1835
02-1926,MIFEPREX (mifepristone,"4,386,085","the Population Council, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2249,593,1656,,,"September 28, 2000",the new drug application (NDA) for MIFEPREX (NDA 20-687),1825
02-1927,KEPPRA (Levetiracetam,"4,943,639","UCB Societe Anonyme, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2010,1707,303,,,"November 30, 1999",NDA 21-035,1155
02-2671,,"4,868,112","the Genetics Institute, Inc",1751,987,764,,,"March 6, 2000",the product license application (PLA) for REFACTO (PLA 98-0137),1475
02-4382,Celexa (citalopram hydrobromide,"4,650,884",H,5498,5061,437,,"May 7, 1997","July 17, 1998",the new drug application (NDA) for Celexa (NDA 20-822),1826
02-4383,,"4,594,401",Menicon Co,1917,1435,482,,,"July 11, 2000",the premarket approval application (PMA) for Menicon Z Rigid Gas Permeable Contact Lens (PMA P990018),1205
02-4596,RELENZA (zanamivir,"5,360,817","Glaxo Wellcome, Inc",1800,1527,273,"August 23, 1994","October 27, 1998","July 26, 1999",the date the investigational new drug application became effective,1001
02-4681,NEXIUM (esomeprazole magnesium,"4,738,974","Astrazenica, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1284,838,446,"August 18, 1997","December 3, 1999","February 20, 2001",the date the investigational new drug application became effective,865
02-4683,REMINYL (galatamine hydrobromide,"4,663,318","Janssen Research Foundation, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1608,1089,519,,"September 29, 1999","February 28, 2001",the new drug application (NDA) for REMINYL (NDA 21-169),1063
02-4682,EVISTA(raloxifene hydrochloride,"4,418,068",Eli Lilly and Co,5412,5228,184,"February 16, 1983",,"December 9, 1997",the date the investigational new drug application became effective,1103
02-4685,ABREVA (docosanol,"4,874,794","Avanir Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3270,2323,947,,,"July 25, 2000",the new drug application (NDA) for ABREVA (NDA 20-941),1825
02-4748,AVELOX (moxifloxacin hydrochloride,"4,490,517",Bayer Corp,1435,1069,366,,,"December 10, 1999",the new drug application (NDA) for AVELOX (NDA 21-085),889
02-4747,,"4,690,951",Eli Lilly & Co,5707,1211,4496,,,"December 22, 1999",the date the investigational new animal drug application (INAD) became effective,1095
02-4684,TRAVATAN (travoprost,"5,889,052","Alcon Laboratories, Inc",1694,1441,253,"July 28, 1996",,"March 16, 2001",the date the investigational new drug application became effective,484
02-4889,HECTOROL (doxercalciferol,"4,555,364","The Wisconsin Alumni Research Foundation, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4072,3614,458,,,"June 9, 1999",NDA 20-862,1824
02-4965,,"4,968,514",BF Goodrich Co,1326,739,,,,,the test,962
02-9364,,,,,,1656,,,,,
02-12092,ACTOS (proglitazone hydrochloride,"4,687,777","Takeda Chemical Industries, Ltd",3556,3374,182,"October 21, 1989","January 15, 1999","July 15, 1999",the date the investigational new drug application became effective,1826
02-12784,COMTAN (entacapone,"5,446,194",Orion Corp,2937,2281,656,,"January 2, 1998","October 19, 1999",the new drug application (NDA) for COMTAN (NDA 20-796),416
02-13227,,"5,712,155",Immunex Corp,2322,2143,179,"June 26, 1992",,"November 2, 1998",the date the investigational new drug application became effective,240
02-16052,BETAXON (levobetaxolol,"4,911,920","Alcon Laboratories, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",947,765,182,,,"February 23, 2000",NDA 21-114,579
02-17781,Protonix (pantoprazole sodium,"4,758,579","BYK Gulden Lomerg Chemische Fabrik GmbH, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3401,2818,583,"October 13, 1990","June 30, 1998","February 2, 2000",the date the investigational new drug application became effective,
02-17782,Axert (almotriptan malate,"5,565,447",Almirall Prodesfarma S,1348,843,505,,"December 20, 1999","May 7, 2001",the new drug application (NDA) for Axert (NDA 20-001),569
02-17783,,"5,951,974",Schering Corp,1271,877,394,,,"January 19, 2001",BLA 99-1488,435
02-17904,,"5,444,106","Pharmacia AB, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",9111594,1101,493,,,"April 5, 2001","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective November 25, 1996.
                

                    2. 
                    The date the application",956
02-18975,Definity (perflutren lipid microspheres,"5,527,521","Dupont Contrast Imaging, Inc",2160,1193,967,,"December 8, 1998","July 31, 2001",the new drug application (NDA) for Definity (NDA 21-064),1418
02-27096,,,,6318,4662,1656,,,"September 28, 2000",the new drug application (NDA) for MIFEPREX (NDA 20-687),
02-28883,LOTRONEX (alosetron hydrochloride,"5,360,800","Glaxo Wellcome, Inc",3564,3339,225,"May 10, 1990",,"February 9, 2000",the date the investigational new drug application became effective,1076
02-28885,SOLAGE (mequinol,"5,194,247",Bristol-Myers Squibb Co,2689,1978,711,,,"December 10, 1999",the new drug application (NDA) for SOLAGE (NDA 20-922),1365
02-28882,COLAZAL (balsalzide disodium,"4,412,992","Biorex Laboratories Unlimited, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2950,1828,1122,,,"July 18, 2000",the new drug application (NDA) for COLAZAL (NDA 20-610),1825
02-28884,ACOVA (argatroban,"5,214,052",Texas Biotechnology Corp,4022,2971,1051,,"August 15, 1997","June 30, 2000",NDA 20-883,839
02-29187,GLEEVEC (imatinib mesylate,"5,521,184",Novartis Corp,1098,1025,73,,,"May 10, 2001",the new drug application (NDA) for GLEEVEC (NDA 21-335),599
02-29188,EVOXAC (Cevimeline HCI,"4,855,290","the State of Israel, Israel Institute for Biological Research, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1733,1230,503,,,"January 11, 2000",NDA 20-989,1133
03-1567,,"4,784,950","ZymoGenetics, Inc",3954,2904,1050,"May 29, 1988",,"March 25, 1999",the date the investigational new drug application became effective,1826
03-2970,TEMODAR (temozolomide,"5,260,291",Schering Corp,2032,1668,364,,"August 13, 1998","August 11, 1999",NDA 21-029,1136
03-3556,Rapamune (sirolimus (also rapamycin,"5,100,899","Sir Roy Caine, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2709,2434,275,"April 17, 1992",,"September 15, 1999",the date the investigational new drug application became effective,1492
03-3555,Avandia (rosiglitazone maleate,"5,002,953",Smithkline Beecham Corp,2042,1859,183,,,"May 25, 1999",the new drug application (NDA) for Avandia (NDA 21-071),1021
03-3872,VALCYTE (valganciclovir hydrochloride,"6,083,953","Syntex, and the Patent and Trademark Of0fice requested FDA's assistance in determining this patent's eligibility for patent term restoration",2101,1919,182,,"September 29, 2000","March 29, 2001",NDA 21-304,
03-3873,CANCIDAS (caspofungin acetate,"5,514,650",Merck & Co,1974,1791,183,,"July 28, 2000","January 26, 2001",the new drug application (NDA) for CANCIDAS (NDA 21-227),682
03-4567,Starlix (nateglinide,"34,878","Novartis, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2147,1775,372,,,"December 22, 2000",the new drug application (NDA) for Starlix (NDA 21-204),1259
03-4691,ZOMETA (zoledronic acid,"4,939,130",Novartis Corp,2810,2201,609,,,"August 20, 2001",the new drug application (NDA) for ZOMETA (NDA 21-223),1752
03-6226,,,,,757,2126,,,"September 30, 1997",the premarket approval application (PMA) for VITREON (PMA P910068),1826
03-6490,PRECEDEX (dexemedetomidine,"4,910,214",Orion Corp,3894,3529,365,,,"December 17, 1999",the new drug application (NDA) for PRECEDEX (NDA 21-038),3919
03-6507,TOPAMAX (topiramate,"4,513,006","McNeilab, Inc",3844,2984,860,,,"December 24, 1996",the new drug application (NDA) for TOPAMAX (NDA 20-505),1826
03-6892,,"4,793,353","Advanced Neuromodulation Systems, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",469,292,177,,,"November 21, 2001",PMA P010032,840
03-7280,TEQUIN (gatifloxacin,"4,980,470",Kyorin Pharmaceutical Co,1087,732,355,,,"December 17, 1999",the new drug application (NDA) for TEQUIN (NDA 21-061),720
03-7711,LEVULAN KERASTICK (aminolevulinic acid HCl,"5,079,262","DUSA Pharmaceuticals, Inc",2528,2007,521,"January 2, 1993",,"December 3, 1999",the date the investigational new drug application became effective,1524
03-7819,,"5,532,221","Lifecore Medical, Inc",2438,1453,985,,,"November 16, 2001","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective March 17, 1995.
                

                    2. 
                    The date an application",867
03-7820,,"5,258,494",Stryker Corp,13627,3485,142,,,"October 17, 2001","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective November 14, 1991.
                

                    2. 
                    The date the application",1837
03-9536,FASLODEX (fulvestrant,"4,659,516","AstraZeneca UK, Ltd",1935,1541,394,,"March 28, 2001","April 25, 2002",the new drug application (NDA) for FASLODEX (NDA 21-344),1165
03-9534,ZETIA (ezetimibe,"37,721",Schering Corp,1983,1680,303,"May 23, 1997","December 27, 2001","October 25, 2002",the date the investigational new drug application became effective,497
03-9535,,"4,976,709","Sunrise Technologies International, Inc",3047,2806,241,,,"June 30, 2000","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective February 28, 1992.
                

                    2. 
                    The date the application",1644
03-9577,VFEND (voriconaxole,"5,567,817","Pfizer, Inc",2452,1898,554,,,"May 24, 2002",the new drug application (NDA) for VFEND (NDA 21-266),945
03-9578,TIKOSYN (methanesulfonamide,"4,959,366","Pfizer, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3350,2778,572,"August 1, 1990","March 9, 1998","October 1, 1999",the date the investigational new drug application became effective,1827
03-9809,IMAGENT (perfluorohexane and DMPC,"5,639,443",Alliance Pharmaceutical Corp,2264,1303,961,,"October 14, 1999","May 31, 2002",NDA 21-191,423
03-9694,,"5,776,456",IDEC Pharmaceuticals Corp,3363,2887,476,"December 7, 1992",,"February 19, 2002",the date the investigational new drug application became effective,227
03-9663,EXELON (rivastigmine tartrate,"4,948,807","Novartis, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3424,2313,1111,,"April 7, 1997","April 21, 2000",the new drug application (NDA) for EXELON (NDA 20-823),1825
03-10298,AROMASIN (exemestane,"4,808,616","Pharmacia and Upjohn, S",3153,2848,305,,,"October 21, 1999",the new drug application (NDA) for AROMASIN (NDA 20-753),1745
03-10302,,"5,360,897","the University of Rochester through American Home Products, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1910,1648,262,,,"February 17, 2000",the product license application (PLA) for PREVNAR (PLA 99-0279),1086
03-11215,TRACLEER (bosentan,"5,292,740","Hoffman-La Roche, Inc",2176,1807,369,,,"November 20, 2001",the new drug application (NDA) for TRACLEER (NDA 21-290),1259
03-19446,BENICAR (olmesartan medocomil,"5,616,599","Sankyo Company, Ltd",2522,1882,640,,"July 25, 2000","April 25, 2002",the new drug application (NDA) for BENICAR (NDA 21-286),756
03-19621,SPECTRACEF (cefditoren pivoxil,"4,839,350","Meiji Seika Kaisha, Ltd",1461,851,610,,"December 29, 1999","August 29, 2001",the new drug application (NDA) for SPECTRACEF (NDA 21-222),1032
03-29333,,,Eli Lilly & Co,2493,2193,300,,,"November 21, 2001",the biological license application (BLA) for XIGRIS (BLA 125029/0),1397
03-29464,ABILIFY (aripiprazole,"5,006,528",Otsuka Pharmaceutical Co,3416,3035,381,,,"November 15, 2002",the new drug application (NDA) for ABILIFY (NDA 21-436),
03-29742,,"5,521,207",G,1675,1578,,,,"August 21, 2002",the new animal drug application (NADA) for DERAMAXX (NADA 141-203),882
03-29927,LEXAPRO (escitalopram oxalate,"34,712",H,1146,636,510,"June 27, 1999","March 23, 2001","August 14, 2002",the date the investigational new drug application became effective,827
03-29929,INVANZ (ertapenem sodium,"5,478,820",Syngenta Ltd,2273,1916,357,,"November 30, 2000","November 21, 2001",the new drug application (NDA) for INVANZ (NDA 21-337),1023
03-29928,ELOXATIN (oxaliplatin,"5,420,319","Sanofi-Synthelabo, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3417,3370,47,,"June 24, 2002","August 9, 2002",NDA 21-492,1138
03-30028,STRATTERA (atomoxetine hydrochloride,"5,658,590,",Eli Lilly & Co,7718,7307,411,"October 11, 1981","October 12, 2001","November 26, 2002",the date the investigational new drug application became effective,685
E4-130,LUMIGAN (bimatoprost,"5,688,819","Allergan, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1967,1787,180,,"September 18, 2000","March 16, 2001",the new drug application (NDA) for LUMIGAN (NDA 21-275),907
04-1841,REMODULIN (treprostinil sodium,"5,153,222","United Therapeutics, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",4026,3443,583,"May 15, 1991","October 16, 2000","May 21, 2002",the date the investigational new drug application became effective,337
04-1840,"FROVA 
                    

      ( print page 4306",,"Vernalis, Ltd",2201,1186,1015,"November 1, 1995","January 29, 1999","November 8, 2001",the date the investigational new drug application became effective,
04-2546,EXTRANAEAL (icodextrin,"4,761,237","Baxter International, Inc",2207,1478,729,"December 6, 1996",,"December 20, 2002",the date the investigational new drug application became effective,1467
04-2547,ORTHO-EVRA (norelgestromin/ethinyl estradiol transdermal system,"5,876,746","Johnson and Johnson, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2001,1666,335,,,"November 20, 2001",the new drug application (NDA) for ORTHO-EVRA (NDA 21-180),664
04-5758,ZELNORM (tegaserod maleate,"5,510,353","Novartis Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2826,1931,895,"October 30, 1994","February 11, 2000","July 24, 2002",the date the investigational new drug application became effective,1888
04-5703,IPRIVASK (desirudin,"4,745,177",Novartis Corp,4707,3696,1011,"May 17, 1990","June 28, 2000","April 4, 2003",the date the investigational new drug application became effective,
04-5760,,"5,356,804","Genzyme, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1843,807,1036,"April 9, 1998",,"April 24, 2003",the date the investigational new drug application became effective,1438
04-5759,FACTIVE (gemifloxacin mesylate,,"LG Life Sciences, and the Patent and Trademark Office requested FDA's assistance in determining these patents' eligibility for patent term restoration",2038,832,1206,"September 6, 1997","December 16, 1999","April 4, 2003",the date the investigational new drug application became effective,
04-6159,VELCADE bortezomib,"5,780,454","Millenium Pharmaceuticals, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",1723,1610,113,,"January 21, 2003","May 13, 2003",the new drug application (NDA) for VELCADE (NDA 21-602),920
04-15275,,"5,480,668",The NutraSweet Co,3143,1503,,,,,the test,973
04-15274,,"5,667,787","Aventis Pasteur, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3591,1415,2176,"July 16, 1992",,"May 14, 2002",the date the investigational new drug application became effective,242
04-15301,,,"Technology Transfer, Inc",4222,4188,,,,"March 17, 2003",NADA 141-217,
04-15569,,"5,382,518","Sanofi-Synthelabo, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2360,1420,940,"January 27, 1996",,"July 12, 2002",the date the investigational new drug application became effective,1638
04-15712,XOPENEX (levalbuterol,"5,362,755","Sepracor, Inc",1458,824,634,,"June 30, 1997","March 25, 1999",the new drug application (NDA) for XOPENEX (NDA 20-837),502
04-15802,,"5,545,403","Millenium and Ilex Partners, L",3423,2921,502,"December 25, 1991",,"May 7, 2001",the date the investigational new drug application became effective,632
04-17209,,"4,703,752","Shlome Gabbay, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",5596,5418,178,,,"March 14, 2002","the date the investigational device exemption required under section 520(g) of the act for human tests to begin became effective November 19, 1986.
                

                    2. 
                    The date the application",1825
04-21625,REYATAZ (atazanavir sulfate,"5,849,911",Novartis Corp,1723,1540,183,,"December 20, 2002","June 20, 2003",the new drug application (NDA) for REYATAZ (NDA 21-567),72
04-21678,VISUDYNE (verteporfin,"5,095,030","University of British Columbia, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3194,2953,241,,"August 16, 1999","April 12, 2000",NDA 21-119,
04-21675,,"5,075,222","Amgen, Inc",4101,3413,688,,,"November 14, 2001",BLA 103950,1825
04-21749,,"4,963,489","Advanced Tissue Sciences, Inc",4050,3650,400,,,"September 28, 2001",PMA P00036,
04-21874,,"5,547,853","Biogen, Inc",2104,1618,486,"April 29, 1997",,"January 30, 2003",the date the investigational new drug application became effective,1259
04-24378,GANIRELIX ACETATE INJECTION (ganirelix acetate,"4,801,577","Syntex, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3558,3376,182,,,"July 29, 1999",NDA 21-057,
05-8587,GEODON (ziprasidone hydrochloride,"4,831,031","Pfizer, Inc",3933,2511,1422,,"March 17, 1997","February 5, 2001",the date the Investigational New Drug application became effective,1825
05-9462,ERTACZO (sertaconazole nitrate,"5,135,943","Ferrer Internacional, S",2718,1914,804,,,"December 10, 2003",the new drug application (NDA) for ERTACZO (NDA 21-385),1776
05-14695,CLARINEX (desloratadine,"4,659,716",Schering Corp,1354,561,793,"April 9, 1998","October 21, 1999","December 21, 2001",the date the investigational new drug application became effective,1074
05-14748,,"5,354,330","ATS Medical, Inc",1418,980,438,,,"October 13, 2000","the date the investigational device exemption (IDE) required under section 520(g) of the Federal Food, Drug, and Cosmetic Act (the act) (21 U.S.C. 360j(g)) for human tests to begin became effective November 27, 1996.
                

                    2. 
                    The date the application",505
05-14921,,"4,826,868","Johnson & Johnson, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",2347,1887,,,,"March 31, 2003",NADA 141-193,1405
05-22012,,,,,,,,,,,
E6-1050,SPIRIVA HANDIHALER (tiotropium bromide monohydrate,"5,610,163","Boehringer Ingelheim Corporation, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3318,2557,761,,,"January 30, 2004",the new drug application (NDA) for Spiriva HandiHaler (NDA 21-395),1421
E6-1072,ENABLEX (darifenacin hydrobromide,"5,096,890",Novartis International Phamaceutical Ltd,3824,3073,751,,,"December 22, 2004",NDA 21-513,2298
E6-1078,,"6,267,958","Genentech, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3440,2329,1111,"January 20, 1994",,"June 20, 2003",the date the investigational new drug application became effective,463
E6-1313,,"6,090,382",Abbott Biotechnology Ltd,1722,1443,279,"April 16, 1998",,"December 31, 2002",the date the investigational new drug application became effective,326
06-903,ALOXI (palonosetron hydrochloride,"5,202,333","Roche Palo Alto, LLC, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",3867,3565,302,,,"July 25, 2003",the new drug application (NDA) for ALOXI (NDA 21-372),1827
E6-1365,OMACOR (omega-3-acid ethyl esters,"5,656,667","Pronova Biocare AS, and the Patent and Trademark Office requested FDA's assistance in determining these patents' eligibility for patent term restoration",3712,3408,304,,,"November 10, 2004",the new drug application (NDA) for OMACOR (NDA 21-654),
E6-1436,,"5,563,146","Wyeth, and the Patent and Trademark Office requested FDA's assistance in determining this patent's eligibility for patent term restoration",814,513,301,,,"April 24, 2003","the date the investigational device exemption (IDE) required under section 520(g) of the act (21 U.S.C. 
                    

      ( print page 5861)
    
                    360j(g)) for human tests to begin became effective February 1, 2001.
                

                    2. 
                    The date the application",557
E6-1434,,"4,937,078","Mezei Associates, Ltd",2262,1028,1234,,,"May 13, 2004",NADA 141-186,1590
E6-1642,ALIMTA (pemetrexed,"5,344,932",Eli Lilly and Co,4166,4038,128,"September 10, 1992",,"February 4, 2004",the date the investigational new drug application became effective,1784
